x y sensor
-8.000000000000000444e-01 0.000000000000000000e+00 3.271215213077498518e+00
-2.666999999999999926e-01 0.000000000000000000e+00 3.226779220884652410e+00
2.666999999999999926e-01 0.000000000000000000e+00 3.303496249250133854e+00
8.000000000000000444e-01 0.000000000000000000e+00 3.596021178417484254e+00
-8.000000000000000444e-01 -4.000000000000000222e-01 3.085514411292743731e+00
-2.666999999999999926e-01 -4.000000000000000222e-01 3.430975372132315737e+00
2.666999999999999926e-01 -4.000000000000000222e-01 3.889056928779908606e+00
8.000000000000000444e-01 -4.000000000000000222e-01 3.695396620263161847e+00
-8.000000000000000444e-01 -8.000000000000000444e-01 3.798998788975784802e+00
-2.666999999999999926e-01 -8.000000000000000444e-01 3.298642489958832247e+00
2.666999999999999926e-01 -8.000000000000000444e-01 3.547670046008938982e+00
8.000000000000000444e-01 -8.000000000000000444e-01 4.369793310395712282e+00
